efficiency,avg_bedtime,avg_actual_sleeptime,quality,weekday_midnight,weekend_midnight,disorder,motivation,ontime_bed,outside_noise,inside_noise,light,temperature,mattress,health,sm_quality
0.8921568627450981,7.285714285714286,6.5,4,1,1,0,3,3,2,2,2,3,2,3,1
0.6666666666666666,6.857142857142857,4.571428571428571,3,1,1,0,4,3,1,4,2,3,2,3,2
0.6542056074766355,7.642857142857143,5.0,2,1,1,1,4,4,1,1,1,3,5,5,3
0.8789237668161435,7.964285714285714,7.0,4,1,1,0,4,5,2,2,1,3,3,2,1
0.8275862068965517,7.25,6.0,3,0,0,1,4,4,1,1,5,4,3,2,2
0.9435897435897436,6.964285714285714,6.571428571428571,3,1,0,0,3,4,1,3,2,3,1,2,2
0.9626556016597511,8.607142857142858,8.285714285714286,4,1,1,0,4,4,1,2,2,3,1,2,1
0.7777777777777778,7.714285714285714,6.0,4,1,0,0,3,2,1,1,2,3,2,2,1
0.7441860465116279,10.75,8.0,3,1,1,0,3,3,1,3,3,3,1,3,2
0.9375,8.0,7.5,4,1,1,0,4,4,1,1,1,1,1,1,1
0.729064039408867,7.25,5.285714285714286,4,1,0,0,3,2,3,1,1,2,3,1,1
0.9230769230769231,9.75,9.0,4,1,1,0,4,4,1,2,1,1,1,2,1
0.6805555555555556,7.714285714285714,5.25,4,0,0,0,3,3,1,1,1,1,1,3,1
0.838709677419355,11.071428571428571,9.285714285714286,1,0,0,0,1,1,1,1,1,1,1,1,3
0.75,8.0,6.0,3,1,1,1,2,5,1,1,1,1,1,4,2
1.0,7.0,7.0,3,0,0,1,3,3,1,1,1,2,1,2,2
0.9333333333333333,7.5,7.0,4,1,1,0,4,5,1,1,1,1,1,2,1
0.8974358974358974,8.357142857142858,7.5,3,1,1,1,4,4,1,2,2,3,2,2,2
0.823076923076923,9.285714285714286,7.642857142857143,4,1,1,0,2,2,1,2,1,1,1,1,1
0.9361702127659575,6.714285714285714,6.285714285714286,4,1,0,0,3,3,1,1,1,1,1,2,1
0.908675799086758,7.821428571428571,7.107142857142857,3,1,1,0,2,3,1,2,1,4,1,1,2
0.888888888888889,7.071428571428571,6.285714285714286,2,1,1,0,3,4,2,3,2,2,2,2,3
0.7538461538461538,9.285714285714286,7.0,2,1,1,1,4,4,2,1,1,1,1,5,3
0.7741935483870968,7.75,6.0,3,1,1,0,4,5,2,1,1,1,1,1,2
0.8448275862068965,8.285714285714286,7.0,3,0,0,0,3,3,2,2,2,3,2,2,2
0.7777777777777778,7.714285714285714,6.0,3,1,1,1,3,3,2,1,3,3,3,3,2
1.0,8.214285714285714,8.714285714285714,4,1,1,0,5,4,3,1,1,2,2,1,1
0.9789473684210527,6.785714285714286,6.642857142857143,4,0,0,0,4,3,3,3,3,3,3,2,1
1.0,7.642857142857143,8.785714285714286,4,1,1,0,3,5,1,1,1,3,2,2,1
